Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andorra,AND,Oil,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41037,0.4067,0.42502,0.45434,0.46533,0.49098,0.51296,0.52395,0.52395,0.53128,0.53494,0.56059,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47632,0.46166,0.46533,0.46899,0.46533,0.49464,0.48365,0.37373,0.36305,0.36865
Andorra,AND,Total fossil fuels and cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41037,0.4067,0.42502,0.45434,0.46533,0.49098,0.51296,0.52395,0.52395,0.53128,0.53494,0.56059,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47632,0.46166,0.46533,0.46899,0.46533,0.49464,0.48365,0.37373,0.36305,0.36865
Angola,AGO,Cement,GCP,CO2,0.079425,0.07694,0.08333,0.094491,0.10539,0.11993,0.13083,0.1381,0.15231,0.18923,0.22146,0.26139,0.30866,0.3816,0.37405,0.32345,0.14732,0.14564,0.1896,0.18738,0.11323,0.11519,0.1137,0.099175,0.15682,0.15474,0.15277,0.1508,0.42167,0.41639,0.10674,0.10658,0.12278,0.10216,0.097929,0.081483,0.10983,0.12226,0.14194,0.083819,0.081264,0.22148,0.23945,0.27964,0.30001,0.52111,0.53901,0.54206,0.68465,0.6932,0.57842,0.76493,1.1471,1.557,1.9762,2.0305,1.4996,0.99586,1.0385,0.95711,1.054,1.2012,1.2012
Angola,AGO,Coal,GCP,CO2,0.12375,0.062794,0.091316,0.021984,0.076944,0.05496,0.087936,0.05496,0.10237,0.091721,0.047583,0.029281,0.007322,0.021984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,Gas,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0.084186,0.084181,0.10983,0.12458,0.1318,0.12458,0.10992,0.13557,0.13557,0.13557,0.14666,0.17221,0.17207,0.19786,0.22,0.21984,0.24549,0.29678,0.30045,0.319,1.0105,1.0838,1.0662,1.0479,0.97155,1.0479,1.0479,1.0662,1.0845,1.0479,1.0845,0.98928,1.1578,1.2164,1.44,1.2494,1.3044,1.5938,1.2714,1.2897,1.3703,1.4033,1.4216,0.76578,0.57891,1.44,1.4949,1.5719,1.6083,2.4292,2.4873,2.7497,2.4879
Angola,AGO,Gas flaring,GCP,CO2,0,0,0,0,0,0,0,0,0,0,1.4824,1.3872,1.5999,1.8357,1.9112,1.7807,1.0882,2.1728,2.3963,2.3963,2.4162,2.2167,2.193,2.268,2.3173,2.3413,2.3669,2.4146,2.4219,2.442,1.4975,1.5927,1.6854,1.6305,6.8192,8.4755,10.8229,11.3652,12.5242,12.4216,11.1616,10.3962,9.663,9.1513,9.1678,8.8824,7.5448,6.6511,6.5752,6.389,7.6646,6.8842,6.1038,5.9464,6.56,7.8673,8.2988,7.1447,5.2513,4.3712,3.5087,3.386,3.1512
Angola,AGO,Oil,GCP,CO2,0.34577,0.31397,1.0045,1.0332,1.0406,1.0113,1.3337,0.79875,1.4149,2.5021,1.7423,1.6434,2.4749,2.5098,2.4494,2.1801,1.9346,1.0736,2.6784,2.77,2.6582,2.7627,2.1564,2.5355,2.2917,1.9602,1.8686,2.9239,1.9053,1.7453,2.4751,2.281,2.29,2.9678,3.4646,3.0118,3.2683,3.3306,2.7627,3.708,3.6677,4.3015,5.0197,6.837,6.1079,4.7339,7.7567,8.8009,10.2189,12.2964,13.3699,14.3446,17.2684,17.4406,15.6526,14.6926,12.6994,12.9046,13.5364,11.4647,9.7148,10.1688,9.23
Angola,AGO,Total fossil fuels and cement,GCP,CO2,0.54895,0.45371,1.1791,1.1497,1.2229,1.1862,1.5525,0.99181,1.6695,2.7831,3.5779,3.4054,4.5005,4.8737,4.8664,4.4088,3.28,3.5275,5.3998,5.4892,5.3344,5.2668,4.6352,5.1005,4.9858,4.6761,4.6338,5.786,5.0493,4.9227,5.0899,5.0641,5.1644,5.7484,11.3532,12.6167,15.249,15.8842,16.5133,17.2613,15.9951,15.9085,16.08,17.4844,17.0157,15.3868,17.1448,17.5879,18.7502,20.6683,22.9833,23.397,25.941,25.7097,24.7677,26.0304,23.9927,22.617,21.4345,19.2222,16.7648,17.5057,16.0703
Antigua and Barbuda,ATG,Cement,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Coal,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Gas,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Gas flaring,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Oil,GCP,CO2,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.24182,0.24915,0.24915,0.25648,0.26747,0.27114,0.28946,0.31144,0.32243,0.34442,0.35541,0.37006,0.4067,0.42869,0.45067,0.47998,0.51662,0.53494,0.53861,0.55693,0.5496,0.54594,0.55693,0.55693,0.56792,0.58258,0.59723,0.60456,0.61555,0.6412,0.61922,0.59669,0.60219
Antigua and Barbuda,ATG,Total fossil fuels and cement,GCP,CO2,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.24182,0.24915,0.24915,0.25648,0.26747,0.27114,0.28946,0.31144,0.32243,0.34442,0.35541,0.37006,0.4067,0.42869,0.45067,0.47998,0.51662,0.53494,0.53861,0.55693,0.5496,0.54594,0.55693,0.55693,0.56792,0.58258,0.59723,0.60456,0.61555,0.6412,0.61922,0.59669,0.60219
Argentina,ARG,Cement,GCP,CO2,1.3047,1.4355,1.4464,1.2538,1.4391,1.6318,1.7227,1.7556,2.0643,2.1479,2.3441,2.7358,2.6986,2.5701,2.6749,2.7142,2.8414,2.9869,3.1476,3.3269,3.5616,3.3227,2.8147,2.8175,2.6177,2.3249,2.7892,3.1692,3.0466,2.2529,1.822,2.196,2.495,2.761,3.05,2.621,2.422,3.169,3.283,3.29,2.771,2.481,1.729,2.28,2.701,3.241,3.764,3.998,3.99,3.81,4.178,4.586,4.184,4.581,4.336,4.571,4.029,4.3621,4.3687,4.1409,3.5085,4.6707,5.0625
Argentina,ARG,Coal,GCP,CO2,3.9058,3.5394,2.0079,2.3047,2.5573,2.6014,2.5868,2.9389,2.3669,2.5904,3.2866,2.9275,2.8579,2.8799,3.3672,3.5944,3.2391,2.7039,3.8325,3.6017,2.8652,2.9568,2.6602,2.1911,2.1472,2.7735,3.3929,3.7776,4.0232,4.144,3.0704,2.6894,2.803,2.3011,3.5613,3.7007,3.0997,2.7773,2.8396,2.1545,1.6562,1.2897,1.0992,1.9896,2.1983,3.2683,3.8655,3.6603,3.8765,3.2316,3.9901,4.723,5.0087,4.8401,5.5364,5.4667,4.1917,4.2795,4.3564,2.1434,3.9571,4.9464,4.9464
Argentina,ARG,Gas,GCP,CO2,2.3633,4.0304,5.1076,5.8294,6.4665,7.2474,7.8483,8.2083,9.1417,9.105,10.2812,11.0213,12.4686,14.187,14.9235,15.7222,16.4666,16.9051,16.4257,18.0159,19.5658,20.4854,23.2489,26.2636,27.3014,28.809,30.9645,36.6986,42.2325,44.6092,43.2132,47.2839,48.3025,40.8085,42.677,53.1955,57.5416,61.5039,61.6138,67.6208,69.4383,64.8088,62.6196,69.0701,82.9107,81.9673,83.869,87.1776,90.1197,87.9946,86.9284,92.5874,95.3812,91.3381,92.8439,93.5346,96.3028,96.4419,96.1231,95.6084,89.0828,93.0295,92.4657
Argentina,ARG,Gas flaring,GCP,CO2,0,0,0,0,0,0,2.345,2.7959,2.8762,2.8323,2.8103,2.8433,2.7443,3.1291,3.0631,3.9022,5.2837,5.4079,6.2508,6.5989,6.1555,5.1443,5.5951,5.1956,7.1487,6.1883,4.8035,4.7779,5.8699,6.2618,4.7852,4.1037,3.9974,4.7525,1.9781,2.8868,2.1507,2.2055,1.6929,1.8834,1.4658,1.5065,1.5096,1.2974,1.0906,0.9128,0.79905,0.69459,0.5994,0.69331,0.61245,0.87162,1.1308,1.2913,1.3883,1.2175,0.84123,0.95982,1.3588,1.7706,1.9866,2.3248,2.195
Argentina,ARG,Oil,GCP,CO2,41.1907,42.1213,45.0782,40.6448,45.2071,47.3242,48.57,49.7773,52.5601,60.5732,63.9258,69.3192,69.2972,71.2098,71.4517,68.9125,71.8683,72.7021,72.8989,79.0728,76.508,70.0593,69.0322,68.6744,67.2367,60.4355,62.2001,66.454,66.2325,59.7525,59.1883,61.2328,63.6327,67.1543,67.2031,62.8357,65.9209,66.868,69.5757,72.7249,67.434,64.3362,57.4972,59.3568,67.8117,71.7997,81.9124,77.9516,88.6578,82.3814,90.1454,86.9081,85.5874,87.4873,84.292,86.954,84.5558,80.8556,74.3924,74.8482,68.3446,84.7727,88.1947
Argentina,ARG,Total fossil fuels and cement,GCP,CO2,48.7645,51.1267,53.6401,50.0327,55.67,58.8048,63.0727,65.476,69.0092,77.2489,82.648,88.8471,90.0666,93.9759,95.4804,94.8455,99.6992,100.7059,102.5556,110.6161,108.6561,101.9685,103.3511,105.142,106.4517,100.5312,104.1501,114.8772,121.4047,117.0204,112.0791,117.5057,121.2306,117.7775,118.4694,125.2398,131.1348,136.5237,139.005,147.6736,142.7652,134.4223,124.4546,133.9938,156.7124,161.1892,174.2099,173.4821,187.2435,178.111,185.8543,189.6761,191.2921,189.5377,188.3965,191.7438,189.9204,186.8989,180.5993,178.5116,166.8796,189.7441,192.8644
Armenia,ARM,Cement,GCP,CO2,0.089582,0.10022,0.1131,0.12054,0.12846,0.14339,0.15866,0.16833,0.17403,0.17881,0.18991,0.20288,0.21387,0.22766,0.24272,0.26083,0.26585,0.2722,0.27227,0.26408,0.26865,0.27547,0.27012,0.28217,0.28885,0.29247,0.3041,0.31106,0.31763,0.32158,0.38016,0.39608,0.099458,0.055489,0.031966,0.068758,0.078408,0.16767,0.20929,0.17129,0.13885,0.1435,0.21136,0.22025,0.29833,0.33111,0.33821,0.40685,0.41221,0.24133,0.2883,0.2643,0.2779,0.25884,0.24356,0.24068,0.1541,0.20547,0.31513,0.3411,0.41267,0.49232,0.49232
Armenia,ARM,Coal,GCP,CO2,0.91501,0.85761,0.81022,0.81844,0.82345,0.83621,0.85155,0.83583,0.80634,0.80413,0.86327,0.85752,0.87277,0.86582,0.85109,0.86794,0.88736,0.89463,0.87286,0.87429,0.92789,0.81358,0.82434,0.81296,0.80553,0.94089,0.98778,0.98035,0.87999,0.83244,0.67736,0.58664,0.37373,0.0073386,0.095264,0.007328,0.014656,0.014656,0.01464,0.007328,0,0,0.047574,0.07328,0,0,0.003664,0.0073334,0.007328,0,0.003664,0.007328,0.007328,0.003664,0.0036616,0.0036615,0.0036666,0.0036664,0.003664,0.010992,0.032976,0.03664,0.03664
Armenia,ARM,Gas,GCP,CO2,0.40183,0.49646,0.58629,0.6987,0.8292,0.94196,1.0282,1.0959,1.1574,1.2176,1.1358,1.2507,1.2991,1.3481,1.4013,1.5136,1.657,1.7629,1.8145,1.9315,2.0305,2.1057,2.2277,2.3755,2.5634,2.8853,2.6078,3.1847,4.1918,4.6536,4.16,3.4313,3.4771,1.5081,1.6158,2.6161,2.0408,2.6784,2.7889,2.2753,2.5648,2.6124,2.0018,2.2277,2.4732,3.0631,3.14,3.762,4.122,3.1694,2.9532,3.7556,4.5653,4.4188,4.4928,4.4268,4.2386,4.4621,4.6789,4.8878,4.8988,4.8988,4.1989
Armenia,ARM,Gas flaring,GCP,CO2,0,0,0,0,0,0,0,0,0,0,0,0.094576,0.089314,0.10428,0.11224,0.1234,0.13643,0.14615,0.15411,0.083605,0.084471,0.081188,0.080768,0.078943,0.077571,0.084806,0.074209,0.068062,0.14969,0.14596,0.096559,0.089827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
