State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AL,US,Agriculture,CO2,0.093602,0.097813,0.087194,0.075812,0.004226,0.104664,0.07118,0.099887,0.085775,0.085235,0.097466,0.055602,0.008773,0.008372,0.127783,0.00995,0.009224,0.009586,0.119477,0.005697,0.147803,0.075256,0.006335,0.061398,0.00671,0.006852,0.00726,0.007409,0.007624,0.007838,0.008053
USA.AL,US,Agriculture,N2O,2.690585,3.03512,2.974558,2.757621,3.217263,2.742662,2.930764,2.877155,2.813923,2.876369,2.625435,3.028305,2.962131,2.890989,2.728559,2.830079,2.475689,2.601463,2.791271,2.92402,2.452125,2.723636,2.823747,2.87398,2.708111,2.960555,2.73151,2.710094,2.803019,2.869894,2.596466
USA.AL,US,Agriculture,All GHG,6.01685,6.280854,6.257326,6.067542,6.537936,6.253415,6.323261,6.041216,5.912229,5.852919,5.560943,5.772664,5.664822,5.678445,5.534377,5.46345,5.054941,5.188706,5.397141,5.43412,5.119843,5.276245,5.329325,5.479507,5.231229,5.401076,5.183942,5.252028,5.407128,5.426831,5.147631
USA.AL,US,Energy,CH4,20.45574,20.12167,19.14476,16.50412,18.30261,20.26693,18.05149,16.39307,16.33925,16.33557,16.10319,14.69495,12.92176,13.22831,12.51068,11.29107,10.83952,11.93207,13.76842,14.09475,13.66475,12.18882,12.03374,11.8345,11.16552,9.325799,8.414327,8.536027,9.169612,7.86909,8.295351
USA.AL,US,Energy,CO2,100.8814,104.7408,111.3875,116.4728,114.8028,122.9335,128.5884,125.6714,127.8683,129.9963,135.9972,128.7306,133.3586,134.9623,136.1136,137.9193,140.1529,142.0596,134.2483,115.9684,128.9443,125.672,118.4395,116.7862,118.4895,115.7355,110.0408,104.0846,108.9865,102.9448,95.75315
USA.AL,US,Energy,N2O,1.654991,1.746365,1.880428,2.030898,2.084847,2.207621,2.251329,2.224173,2.267921,2.233568,2.252255,2.130632,2.139195,2.142609,2.124145,2.098164,2.135054,2.047914,1.923199,1.618232,1.806613,1.752965,1.573168,1.573829,1.551253,1.449311,1.336715,1.239639,1.253444,1.162881,1.065137
USA.AL,US,Energy,All GHG,122.9921,126.6088,132.4127,135.0079,135.1902,145.408,148.8913,144.2887,146.4755,148.5655,154.3527,145.5562,148.4195,150.3333,150.7484,151.3086,153.1275,156.0396,149.9399,131.6814,144.4157,139.6138,132.0465,130.1945,131.2062,126.5106,119.7919,113.8603,119.4096,111.9768,105.1136
USA.AL,US,Industrial Processes,CH4,0.001157,0.000999,0.001082,0.001178,0.001148,0.001172,0.001098,0.001073,0.002226,0.0023,0.002356,0.002242,0.002544,0.002486,0.002186,0.002253,0.002056,0.001978,0.001933,0.001605,0.001145,0.000925,0.001171,0.001171,0.001012,0.001132,0.000959,0.001156,0.001101,0.000776,0.001053
USA.AL,US,Industrial Processes,CO2,8.308718,8.001103,7.874104,7.922405,8.367434,8.569847,8.699304,8.870739,9.45448,9.432906,9.842209,9.358836,10.714,10.32813,9.980079,9.835777,10.19247,9.886169,9.671435,6.87163,5.500198,5.731463,5.771475,6.097278,7.219571,6.247378,6.184499,5.784546,5.230012,5.528098,5.30694
USA.AL,US,Industrial Processes,N2O,0.067643,0.065683,0.061899,0.070429,0.070335,0.070103,0.069849,0.074036,0.073793,0.073374,0.072926,0.072467,0.064741,0.064529,0.06433,0.064299,0.064519,0.064527,0.324554,0.286815,0.149963,0.179334,0.150486,0.155349,0.23481,0.199108,0.304664,0.220909,0.150084,0.164033,0.19399
USA.AL,US,Industrial Processes,F-Gas,0.523622,0.505828,0.525611,0.599278,0.746299,1.05,1.258807,1.455433,1.555771,1.716274,1.827356,1.937562,1.986056,2.044118,2.088822,2.143894,2.239797,2.351525,2.483649,3.170687,3.154339,3.677313,3.077353,3.157245,3.403056,3.46986,3.49355,3.504401,3.52821,3.625702,3.706196
